#,Album,Artist(s),Major contributors,Artist
107,Marquee Moon,Television,isento,Television
108,When the Pawn...,Fiona Apple,,Fiona Apple
109,Transformer,Lou Reed,,Lou Reed
110,Court and Spark,Joni Mitchell,,Joni Mitchell
111,Control,Janet Jackson,Bookkeeperoftheoccult,Janet Jackson
112,Goodbye Yellow Brick Road,Elton John,,Elton John
113,The Queen Is Dead,The Smiths,Cathodography,The Smiths
114,Is This It,The Strokes,Rafablu88,The Strokes
115,"Good Kid, M.A.A.D City",Kendrick Lamar,STATicVapor,Kendrick Lamar
116,Disintegration,The Cure,"NSR77,WesleyDodds",The Cure
117,Late Registration,Kanye West,isento,Kanye West
118,Hotel California,Eagles,,Eagles
119,Stand!,Sly and the Family Stone,,Sly and the Family Stone
120,Moondance,Van Morrison,isento,Van Morrison
121,This Year's Model,Elvis Costello,zmbro,Elvis Costello
122,The Downward Spiral,Nine Inch Nails,Gixce93,Nine Inch Nails
123,Led Zeppelin II,Led Zeppelin,"Edelmand, isento",Led Zeppelin
124,Achtung Baby,U2,"Y2kcrazyjoker4,Merbabu",U2
125,Paul's Boutique,Beastie Boys,,Beastie Boys
126,My Life,Mary J. Blige,,Mary J. Blige
127,Modern Sounds in Country and Western Music,Ray Charles,isento,Ray Charles
128,A Night at the Opera,Queen,,Queen
129,The Wall,Pink Floyd,Parrot of Doom,Pink Floyd
130,1999,Prince,,Prince
131,Dummy,Portishead,,Portishead
132,40 Greatest Hits,Hank Williams,,Hank Williams
133,Hejira,Joni Mitchell,,Joni Mitchell
134,The Score,Fugees,,Fugees
135,The Joshua Tree,U2,"Y2kcrazyjoker4,Merbabu",U2
136,Maggot Brain,Funkadelic,,Funkadelic
137,21,Adele,,Adele
138,The Immaculate Collection,Madonna,Bluesatellite,Madonna
139,Paranoid,Black Sabbath,,Black Sabbath
140,Catch a Fire,Bob Marley and the Wailers,Tomcat7,Bob Marley and the Wailers
141,Doolittle,Pixies,CloudNine,Pixies
